CMDLINE c:\users\jslmd\.virtualenvs\xetra_1234-frdrwcuz\scripts\python.exe run.py C:/Daten/xetra_project/xetra_1234/configs/xetra_report1_config.yml
FUNC xetra.common.s3.read_csv_to_df 109.5430 1625117691.1048 111.2617 1625117691.3704 2
FUNC xetra.common.s3.read_csv_to_df 111.2617 1625117691.3704 111.3125 1625117691.4282 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.4292 111.3125 1625117691.4763 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.4763 111.3125 1625117691.5436 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.5436 111.3125 1625117691.6160 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.6160 111.3125 1625117691.7232 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.7232 111.3125 1625117691.8165 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.8165 111.3125 1625117691.8723 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.8723 111.3125 1625117691.9391 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117691.9391 111.3125 1625117692.0109 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117692.0109 111.3125 1625117692.0855 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117692.0855 111.3125 1625117692.1563 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117692.1576 111.3125 1625117692.2344 2
FUNC xetra.common.s3.read_csv_to_df 111.3125 1625117692.2344 111.3164 1625117692.3107 2
FUNC xetra.common.s3.read_csv_to_df 111.3164 1625117692.3107 111.3164 1625117692.4065 2
FUNC xetra.common.s3.read_csv_to_df 111.3164 1625117692.4065 111.3203 1625117692.4553 2
FUNC xetra.common.s3.read_csv_to_df 111.3203 1625117692.4553 113.2109 1625117692.7325 2
FUNC xetra.common.s3.read_csv_to_df 113.2109 1625117692.7325 114.8398 1625117693.0092 2
FUNC xetra.common.s3.read_csv_to_df 114.8398 1625117693.0092 116.2969 1625117693.2950 2
FUNC xetra.common.s3.read_csv_to_df 116.2969 1625117693.2950 117.0859 1625117693.5115 2
FUNC xetra.common.s3.read_csv_to_df 117.0859 1625117693.5115 119.0039 1625117693.7544 2
FUNC xetra.common.s3.read_csv_to_df 119.0039 1625117693.7544 119.8359 1625117693.9617 2
FUNC xetra.common.s3.read_csv_to_df 119.8359 1625117693.9627 121.8867 1625117694.2210 2
FUNC xetra.common.s3.read_csv_to_df 121.8867 1625117694.2210 123.4531 1625117694.4725 2
FUNC xetra.common.s3.read_csv_to_df 123.4531 1625117694.4735 125.2539 1625117694.7325 2
FUNC xetra.common.s3.read_csv_to_df 125.2539 1625117694.7325 125.3516 1625117694.7969 2
FUNC xetra.common.s3.read_csv_to_df 125.3516 1625117694.7969 125.3516 1625117694.8604 2
FUNC xetra.common.s3.read_csv_to_df 125.3516 1625117694.8604 125.3516 1625117694.9198 2
FUNC xetra.common.s3.read_csv_to_df 125.3516 1625117694.9198 125.3516 1625117694.9684 2
FUNC xetra.common.s3.read_csv_to_df 125.3516 1625117694.9684 125.3516 1625117695.0455 2
FUNC xetra.common.s3.read_csv_to_df 125.3516 1625117695.0455 125.3516 1625117695.1392 2
FUNC xetra.common.s3.read_csv_to_df 125.3516 1625117695.1392 125.3516 1625117695.1961 2
FUNC xetra.common.s3.read_csv_to_df 125.3516 1625117695.1961 125.3516 1625117695.2540 2
FUNC xetra.common.s3.read_csv_to_df 112.7656 1625117700.7915 112.7656 1625117700.8894 2
FUNC xetra.common.s3.write_df_to_s3 106.1016 1625117696.2982 112.7656 1625117700.7865 2
FUNC xetra.common.s3.write_df_to_s3 112.7656 1625117700.8904 112.7969 1625117700.9649 2
FUNC xetra.common.s3.__put_object 112.7539 1625117700.4432 112.7656 1625117700.7865 3
FUNC xetra.common.s3.__put_object 112.7969 1625117700.8914 112.7969 1625117700.9649 3
